Rk,Player,Pos,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt
202,Dane Sanzenbacher\SanzDa00,WR,25.357,2014-10-05,NFL,CIN,@,NWE,L 17-43,4,5,Sun,1,1,5,5.00,0,100.0%,5.00
203,Corey Brown\BrowPh00,WR,22.293,2014-10-05,NFL,CAR,,CHI,W 31-24,5,5,Sun,1,1,4,4.00,0,100.0%,4.00
204,Donald Brown\BrowDo00,RB,27.177,2014-10-05,NFL,SDG,,NYJ,W 31-0,5,5,Sun,2,1,4,4.00,0,50.0%,2.00
205,John Brown\BrowJo02,WR,24.185,2014-10-05,NFL,ARI,@,DEN,L 20-41,4,5,Sun,7,2,4,2.00,0,28.6%,0.57
206,Jamaal Charles\CharJa00,RB,27.282,2014-10-05,NFL,KAN,@,SFO,L 17-22,5,5,Sun,4,1,4,4.00,0,25.0%,1.00
207,Josh Huff\HuffJo00,WR,22.356,2014-10-05,NFL,PHI,,STL,W 34-28,5,5,Sun,1,1,4,4.00,0,100.0%,4.00
208,Garrett Graham\GrahGa00,TE,28.062,2014-10-05,NFL,HOU,@,DAL,L 17-20,5,5,Sun,1,1,3,3.00,0,100.0%,3.00
209,A.J. Jenkins\JenkA.00,WR,25.005,2014-10-05,NFL,KAN,@,SFO,L 17-22,5,5,Sun,2,1,3,3.00,0,50.0%,1.50
210,John Kuhn\KuhnJo00,FB,32.023,2014-10-02,NFL,GNB,,MIN,W 42-10,5,5,Thu,1,1,3,3.00,0,100.0%,3.00
211,Chris Gragg\GragCh00,TE,24.097,2014-10-05,NFL,BUF,@,DET,W 17-14,5,5,Sun,1,1,2,2.00,1,100.0%,2.00
212,James Starks\StarJa00,RB,28.219,2014-10-02,NFL,GNB,,MIN,W 42-10,5,5,Thu,2,2,2,1.00,0,100.0%,1.00
213,Bruce Ellington\ElliBr00,WR,23.044,2014-10-05,NFL,SFO,,KAN,W 22-17,5,5,Sun,1,1,1,1.00,0,100.0%,1.00
214,Frank Gore\GoreFr00,RB,31.144,2014-10-05,NFL,SFO,,KAN,W 22-17,5,5,Sun,1,1,1,1.00,0,100.0%,1.00
215,Michael Palmer\PalmMi00,TE,26.260,2014-10-05,NFL,PIT,@,JAX,W 17-9,5,5,Sun,1,1,1,1.00,1,100.0%,1.00
216,Frank Summers\SummFr00,FB,29.029,2014-10-05,NFL,BUF,@,DET,W 17-14,5,5,Sun,2,1,1,1.00,0,50.0%,0.50
217,Darrius Heyward-Bey\HeywDa00,WR,27.221,2014-10-05,NFL,PIT,@,JAX,W 17-9,5,5,Sun,1,1,0,0.00,0,100.0%,0.00
218,Denard Robinson\RobiDe00,WR,24.013,2014-10-05,NFL,JAX,,PIT,L 9-17,5,5,Sun,2,2,-1,-0.50,0,100.0%,-0.50
219,Chris Johnson\JohnCh04,RB,29.012,2014-10-05,NFL,NYJ,@,SDG,L 0-31,5,5,Sun,1,1,-2,-2.00,0,100.0%,-2.00
220,Dexter McCluster\McClDe00,RB,25.041,2014-10-05,NFL,TEN,,CLE,L 28-29,5,5,Sun,2,1,-2,-2.00,0,50.0%,-1.00
221,Alfred Morris\MorrAl00,RB,25.298,2014-10-06,NFL,WAS,,SEA,L 17-27,5,5,Mon,1,1,-2,-2.00,0,100.0%,-2.00
222,Ben Tate\TateBe00,RB,26.045,2014-10-05,NFL,CLE,@,TEN,W 29-28,4,5,Sun,2,1,-2,-2.00,0,50.0%,-1.00
